idx	basket	amount_usdc_base	request_tx	request_block	submit_seconds	nonce
61	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	10000000	0x7ff40282a5c8ee030e8f6836a91c1205abfec265e1e93fd356130785a8271ea8	-	13	406
67	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	25000000	FAIL	-	17	412
68	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	50000000	0x01c26f6627af111c39d0e6bec82f5f4a9ef4d03188107746039c21c0d481859a	-	24	413
64	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	100000000	0x9f69c20505065d77ef465ba8ba534b803eab9c2bf0198b4d735b636cc04986cf	-	24	409
66	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	10000000	0x26e6ff5d32f55d5db12b460143cfd598862412d548cf0e3d834787803dac8633	-	24	411
69	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	100000000	0x77aa72367438d32fda736a73180fc0454154b28c82a0fb1f740736062c1fd0b2	-	24	414
71	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	10000000	0xe0011b31d60095ccbbf6d06e28e6da43ea19f6abea53fdde6375904536e25a7b	-	12	416
70	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	5000000	0x162b668f0dc6db69a3848ba4f55d9c73ca0f931b98b7ad315902deb5d95a630d	-	12	415
65	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	5000000	0x3339c571f672e6546b0b3a9d55c843fd1d8296b542c5e7a45e5c0d140a040ed4	-	25	410
63	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	50000000	0x0fad1ff3ed03b6f90bf536442585c02e21796c63d04ce7ac8e8e3ebf15a1a1e0	-	25	408
62	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	25000000	0xcdb2cc45a1f526358e5a7236e88055485e8eb40f59400e57bb18fca5c9c34529	-	25	407
76	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	10000000	0x07680187b89d684e0c878a650c59ba29fcde806e733917c2124acf44dabb2e19	-	11	421
77	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	25000000	0x5bda611268a8bae7a3b333132d3414b04abf13e353e05b0312332f59addf92ec	-	11	422
73	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	50000000	0x09a75cfaa0fe7cba16a814e98795a2f17988dea17729437f948f580735ce7197	-	11	418
74	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	100000000	0x7457d57a87a0bfc1aa7f84132956afb403f0efc52d94cdaeb4eaacce8ccc1bfa	-	11	419
79	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	100000000	0x4efc6bae7ad60c641917a59ee2c3b841ed69ece06ec58476796276bb31f88055	-	12	424
78	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	50000000	0x590c4c2c35beff9e5674aa908de60ed392fded938fc73260887b75782a865801	-	12	423
81	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	10000000	0x6817fbd6d068055e8d1da26f8a6fdeaf160880ec3da3d65fd4288969c9e121a5	-	12	426
72	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	25000000	0xe1c407a11b9d984e84de4c4ba9a69711a5500792d70c8991481036e548420be9	-	12	417
